"Country","(0,10]","(10,20]","(20,30]","(30,40]","(40,50]","(50,âˆž)","Total_Amount_of_Company","Total_Valuation($B)","Average_Valuation($B)"
"United States","631","18","2","3","1","1","656","2,052.31","3.13"
"China","171","7","0","0","0","2","180","728.02","4.04"
"India","69","1","0","0","0","0","70","193.75","2.77"
"United Kingdom","48","3","0","1","0","0","52","188.67","3.63"
"Germany","29","1","0","0","0","0","30","78.98","2.63"
"France","25","0","0","0","0","0","25","59.55","2.38"
"Israel","24","0","0","0","0","0","24","54.42","2.27"
"Canada","21","0","0","0","0","0","21","52.23","2.49"
"Brazil","16","0","0","0","0","0","16","39.08","2.44"
"South Korea","14","0","0","0","0","0","14","32.54","2.32"
"Singapore","14","0","0","0","0","0","14","22.91","1.64"
"Australia","7","0","0","1","0","0","8","55.40","6.92"
"Indonesia","7","1","0","0","0","0","8","30.43","3.80"
"Mexico","8","0","0","0","0","0","8","18.70","2.34"
"Sweden","7","0","0","0","0","0","7","22.62","3.23"
"Netherlands","7","0","0","0","0","0","7","22.46","3.21"
"Japan","7","0","0","0","0","0","7","9.82","1.40"
"Switzerland","6","0","0","0","0","0","6","12.30","2.05"
"Ireland","6","0","0","0","0","0","6","10.05","1.67"
"Spain","5","0","0","0","0","0","5","7.15","1.43"
"Norway","4","0","0","0","0","0","4","4.50","1.12"
"Finland","4","0","0","0","0","0","4","12.46","3.12"
"Thailand","3","0","0","0","0","0","3","3.50","1.17"
"Turkey","3","0","0","0","0","0","3","13.55","4.52"
"Colombia","3","0","0","0","0","0","3","7.40","2.47"
"Belgium","3","0","0","0","0","0","3","10.08","3.36"
"United Arab Emirates","3","0","0","0","0","0","3","5.05","1.68"
"Seychelles","2","0","0","0","0","0","2","11.80","5.90"
"Austria","2","0","0","0","0","0","2","7.61","3.80"
"Lithuania","2","0","0","0","0","0","2","6.13","3.07"
"Greece","2","0","0","0","0","0","2","3.32","1.66"
"Denmark","2","0","0","0","0","0","2","6.70","3.35"
"Croatia","2","0","0","0","0","0","2","3.00","1.50"
"Vietnam","2","0","0","0","0","0","2","5.27","2.64"
"Estonia","2","0","0","0","0","0","2","9.90","4.95"
"South Africa","2","0","0","0","0","0","2","2.59","1.30"
"Chile","2","0","0","0","0","0","2","2.50","1.25"
"Italy","2","0","0","0","0","0","2","2.00","1.00"
"Argentina","1","0","0","0","0","0","1","2.45","2.45"
"Luxembourg","1","0","0","0","0","0","1","2.00","2.00"
"Nigeria","1","0","0","0","0","0","1","2.00","2.00"
"Senegal","1","0","0","0","0","0","1","1.70","1.70"
"Bermuda","1","0","0","0","0","0","1","1.60","1.60"
"Ecuador","1","0","0","0","0","0","1","1.50","1.50"
"Malaysia","1","0","0","0","0","0","1","1.70","1.70"
"Czech Republic","1","0","0","0","0","0","1","1.20","1.20"
"Egypt","1","0","0","0","0","0","1","1.00","1.00"
"Liechtenstein","1","0","0","0","0","0","1","1.00","1.00"
"Philippines","1","0","0","0","0","0","1","1.00","1.00"
"London","1","0","0","0","0","0","1","1.00","1.00"
